"grup_codigo"|"grup_classificacao"|"grup_descricao"|"grup_prodserv"|"grup_decimaisest"|"grup_recuo"|"grup_periodos"|"grup_codigoncm"|"grup_comissao"|"grup_dpto_codigo"|"grup_comportamento"|"grup_classfiscal"|"grup_tipoitem"|"grup_dtestmin"|"grup_ctrlestmin"|"grup_percabast"|"grup_abatimento"|"grup_extra1"|"grup_extra2"|"grup_extra3"|"grup_extra4"|"grup_extra5"|"grup_extra6"|"grup_extra7"|"grup_extra8"|"grup_extra9"|"grup_grupo_ecomm"|"grup_dthrmanutencao"|"grup_dthrintegracao"|"grup_margemecomm"
"11362"|"308006"|Pires|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11386"|"310002"|Pires|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10489"|"0010080012"|Pirulito|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11688"|"3310020003"|Pisca|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11724"|"3370010006"|Piscina|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11631"|"3280030006"|Piso|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10976"|"1010260001"|Pizza |P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10975"|"101026"|Pizza/Lasanha/Torta|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11175"|"3020080009"|Plastico Encapar|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11405"|"312"|Plasticos|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11406"|"312001"|Plasticos|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"12033"|"3360050002"|Plugues e Tomadas|P|0|0|0|""||""|""||"00"|||0|||||||||||0||2022-10-04 15:28:27.000|
"11270"|"3060010003"|Pneu|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11294"|"3060060001"|Pneu|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10383"|"0000100003"|Polenta Pronta/Instantânea|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10507"|"0010110002"|Polpa Tomate|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10979"|"1010270001"|Polpa congelada|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11723"|"3370010005"|Poltrona|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10420"|"000017"|Polvilho|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10422"|"0000170002"|Polvilho Azedo|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
